,Movie_name,Year
0,American Hangman,2019
1,Escape Room,2019
2,Great Great Great,2019
3,Mojin The Worm Valley,2019
4,Rust Creek,2019
5,State Like Sleep,2019
6,The Nun (1966),2019
7,A Dog's Way Home,2019
8,Ashes in the Snow,2019
9,Perfect Strangers,2019
10,Pledge,2019
11,Replicas,2019
12,Rockaway,2019
13,Sgt. Will Gardner,2019
14,Tall Tales from the Magical Garden of Antoon Krings,2019
15,The Aspern Papers,2019
16,The Upside,2019
17,They Shall Not Grow Old,2019
18,Touch Me Not,2019
19,Dragon Ball Super Broly,2019
20,The Heiresses,2019
21,What Is Democracy?,2019
22,Adult Life Skills,2019
23,All These Small Moments,2019
24,An Acceptable Loss,2019
25,Canal Street,2019
26,Glass,2019
27,I Hate Kids,2019
28,The Untold Story,2019
29,Who Will Write Our History,2019
30,Extreme Job,2019
31,In Like Flynn,2019
32,Jihadists,2019
33,King of Thieves,2019
34,Serenity,2019
35,The Image Book,2019
36,The Invisibles,2019
37,The Kid Who Would Be King,2019
38,Tito and the Birds,2019
39,The Gandhi Murder,2019
40,The Wild Pear Tree,2019
41,Arctic,2019
42,Daughter of Mine,2019
43,Ek Ladki Ko Dekha Toh Aisa Laga,2019
44,Miss Bala (2019),2019
45,Piercing,2019
46,Velvet Buzzsaw,2019
47,Peppa Celebrates Chinese New Year,2019
48,Chokehold,2019
49,Cold Pursuit,2019
50,Everybody Knows,2019
51,Holiday,2019
52,Lords of Chaos,2019
53,The Gospel of Eureka,2019
54,The Lego Movie 2 The Second Part,2019
55,The Man Who Killed Hitler and Then The Bigfoot,2019
56,The Prodigy,2019
57,To Dust,2019
58,Under The Eiffel Tower,2019
59,Untogether,2019
60,What Men Want,2019
61,Birds of Passage,2019
62,Happy Death Day 2U,2019
63,Isn't It Romantic,2019
64,Alita Battle Angel,2019
65,Fighting With My Family,2019
66,Nightmare Cinema,2019
67,A Tuba to Cuba,2019
68,Donnybrook,2019
69,Hotel By The River,2019
70,Patrick,2019
71,"Ruben Brandt, Collector",2019
72,Sorry Angel,2019
73,How To Train Your Dragon The Hidden World,2019
74,Prosecuting Evil,2019
75,Run the Race,2019
76,The Iron Orchard,2019
77,Total Dhamaal,2019
78,Styx,2019
79,A Madea Family Funeral,2019
80,Apollo 11,2019
81,Climax,2019
82,Furie,2019
83,Giant Little Ones,2019
84,Greta,2019
